model,threshold,accuracy,precision,recall,f1,f2,mcc,auc_roc,auc_pr,TP,FP,TN,FN,run_id,smote_strategy,xgb_learning_rate,rf_n_estimators,rf_max_depth,ada_n_estimators,rus_n_estimators
Baseline_PriorRate,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run002_strategy=0.2_threshold=0.3_estima,0.2,0.01,100,10,100,200
RandomForest,0.3,0.9390243902439024,0.9405594405594405,0.9981447124304267,0.9684968496849685,0.9860703812316716,0.10848985267611204,0.6854492446329181,0.9634609147525859,1076,68,2,2,run002_strategy=0.2_threshold=0.3_estima,0.2,0.01,100,10,100,200
XGBoost,0.3,0.9390243902439024,0.9556962025316456,0.9805194805194806,0.967948717948718,0.975452196382429,0.3575355395046445,0.6653988868274583,0.9590642973650554,1057,49,21,21,run002_strategy=0.2_threshold=0.3_estima,0.2,0.01,100,10,100,200
AdaBoost,0.3,0.9189895470383276,0.957288765088208,0.9564007421150278,0.9568445475638051,0.9565782148821674,0.2972808791293479,0.7043996819507023,0.9649008578696274,1031,46,24,47,run002_strategy=0.2_threshold=0.3_estima,0.2,0.01,100,10,100,200
RUSBoost,0.3,0.931184668989547,0.9504057709648331,0.9777365491651205,0.9638774577046182,0.9721453606345692,0.25363659159992613,0.6888218923933209,0.9630828692644076,1054,55,15,24,run002_strategy=0.2_threshold=0.3_estima,0.2,0.01,100,10,100,200
Baseline_Majority,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run003_strategy=0.2_threshold=0.3_estima,0.2,0.01,100,10,200,200
Baseline_PriorRate,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run003_strategy=0.2_threshold=0.3_estima,0.2,0.01,100,10,200,200
RandomForest,0.3,0.9390243902439024,0.9405594405594405,0.9981447124304267,0.9684968496849685,0.9860703812316716,0.10848985267611204,0.6854492446329181,0.9634611466345469,1076,68,2,2,run003_strategy=0.2_threshold=0.3_estima,0.2,0.01,100,10,200,200
XGBoost,0.3,0.9390243902439024,0.9556962025316456,0.9805194805194806,0.967948717948718,0.975452196382429,0.3575355395046445,0.6653988868274583,0.9590642973650554,1057,49,21,21,run003_strategy=0.2_threshold=0.3_estima,0.2,0.01,100,10,200,200
AdaBoost,0.3,0.9189895470383276,0.957288765088208,0.9564007421150278,0.9568445475638051,0.9565782148821674,0.2972808791293479,0.7043996819507023,0.9649008578696274,1031,46,24,47,run003_strategy=0.2_threshold=0.3_estima,0.2,0.01,100,10,200,200
RUSBoost,0.3,0.931184668989547,0.9504057709648331,0.9777365491651205,0.9638774577046182,0.9721453606345692,0.25363659159992613,0.6888218923933209,0.9630828692644076,1054,55,15,24,run003_strategy=0.2_threshold=0.3_estima,0.2,0.01,100,10,200,200
Baseline_Majority,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run004_strategy=0.2_threshold=0.3_estima,0.2,0.01,100,15,100,200
Baseline_PriorRate,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run004_strategy=0.2_threshold=0.3_estima,0.2,0.01,100,15,100,200
RandomForest,0.3,0.9381533101045296,0.9389712292938099,0.9990723562152134,0.9680898876404495,0.9864444037369482,-0.007524158413986663,0.6590379008746354,0.9583303594966528,1077,70,0,1,run004_strategy=0.2_threshold=0.3_estima,0.2,0.01,100,15,100,200
XGBoost,0.3,0.9390243902439024,0.9556962025316456,0.9805194805194806,0.967948717948718,0.975452196382429,0.3575355395046445,0.6653988868274583,0.9590642973650554,1057,49,21,21,run004_strategy=0.2_threshold=0.3_estima,0.2,0.01,100,15,100,200
AdaBoost,0.3,0.9189895470383276,0.957288765088208,0.9564007421150278,0.9568445475638051,0.9565782148821674,0.2972808791293479,0.7043996819507023,0.9649008578696274,1031,46,24,47,run004_strategy=0.2_threshold=0.3_estima,0.2,0.01,100,15,100,200
RUSBoost,0.3,0.931184668989547,0.9504057709648331,0.9777365491651205,0.9638774577046182,0.9721453606345692,0.25363659159992613,0.6888218923933209,0.9630828692644076,1054,55,15,24,run004_strategy=0.2_threshold=0.3_estima,0.2,0.01,100,15,100,200
