model,threshold,accuracy,precision,recall,f1,f2,mcc,auc_roc,auc_pr,TP,FP,TN,FN,run_id,cut_year,apply_smote,smote_strategy,rf_n_estimators,rf_max_depth,rf_min_samples_leaf,xgb_n_estimators,xgb_max_depth,xgb_learning_rate,xgb_subsample,ada_n_estimators,ada_learning_rate,rus_n_estimators,rus_learning_rate,logit_C,logit_penalty,svm_C,svm_kernel,svm_gamma,mlp_hidden_layer_sizes,mlp_alpha,mlp_learning_rate_init,mlp_activation
RandomForest,0.3,0.9390243902439024,0.9405594405594405,0.9981447124304267,0.9684968496849685,0.9860703812316716,0.10848985267611204,0.6854492446329181,0.9634609147525859,1076,68,2,2,run028,2010,True,0.2,100,10,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
RandomForest,0.3,0.9390243902439024,0.9397905759162304,0.9990723562152134,0.9685251798561151,0.9866251374129718,0.07664694070041267,0.6764179697853168,0.959229088111024,1077,69,1,1,run029,2010,True,0.2,100,13,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
RandomForest,0.3,0.9372822299651568,0.9412280701754386,0.9953617810760668,0.9675383228133454,0.9840425531914894,0.10993587476152072,0.7073548900079512,0.9641969215353261,1073,67,3,5,run030,2010,True,0.2,200,7,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
RandomForest,0.3,0.9381533101045296,0.9405074365704287,0.9972170686456401,0.9680324178298064,0.9853345554537122,0.0937079243201325,0.6848794063079777,0.9627835530573418,1075,68,2,3,run031,2010,True,0.2,200,10,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
RandomForest,0.3,0.9390243902439024,0.9405594405594405,0.9981447124304267,0.9684968496849685,0.9860703812316716,0.10848985267611204,0.6717664988073153,0.9586511799632526,1076,68,2,2,run032,2010,True,0.2,200,13,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
RandomForest,0.3,0.9372822299651568,0.9412280701754386,0.9953617810760668,0.9675383228133454,0.9840425531914894,0.10993587476152072,0.7105221309302943,0.963741554696814,1073,67,3,5,run033,2010,True,0.2,300,7,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
RandomForest,0.3,0.936411149825784,0.9396325459317585,0.9962894248608535,0.9671319225574065,0.9844179651695693,0.038426990548543545,0.682454280413464,0.9626064346145142,1074,69,1,4,run034,2010,True,0.2,300,10,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
RandomForest,0.3,0.9390243902439024,0.9397905759162304,0.9990723562152134,0.9685251798561151,0.9866251374129718,0.07664694070041267,0.669010071561092,0.9579672662381826,1077,69,1,1,run035,2010,True,0.2,300,13,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
RandomForest,0.3,0.9372822299651568,0.9412280701754386,0.9953617810760668,0.9675383228133454,0.9840425531914894,0.10993587476152072,0.7189371852637159,0.9647218989098281,1073,67,3,5,run036,2010,True,0.2,400,7,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
RandomForest,0.3,0.9372822299651568,0.9396853146853147,0.9972170686456401,0.9675967596759676,0.9851539589442815,0.046710908791103796,0.6783196395441293,0.9616344268218153,1075,69,1,3,run037,2010,True,0.2,400,10,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
